EmployeeID,Name,Age,Gender,Location,Department,Designation,YearsAtTCS,PerformanceRating,AI_Training_Level,SkillsMatch,OnsiteExperience,Certifications,CurrentProject,BillableDays,BenchDays,PreviousBenchInstances,UpSkilledLastYear,WillingToReskill,RedeploymentAttempts,LastPromotionYearsAgo,SalaryUSD,ManagerFeedbackScore,LayoffFlag,LayoffReason,DateOfRecord
TCS00024,Employee_24,22,Male,UK,IT,Junior,5.8,High,None,Match,No,1,Yes,259,0,2,Yes,Yes,3,3,26076,3.69,0,N/A,2025-07-30
TCS00025,Employee_25,25,Male,Australia,Consulting,Senior,0.5,Medium,None,Match,Yes,0,Yes,242,14,1,Yes,No,1,2,16768,3.27,0,N/A,2025-07-30
TCS00026,Employee_26,49,Male,UK,HR,Mid,9.4,Medium,Basic,Match,No,7,Yes,238,15,3,Yes,Yes,0,2,19687,2.01,0,N/A,2025-07-30
TCS00027,Employee_27,28,Male,India,Sales,Mid,8.9,Medium,Basic,Mismatch,Yes,5,Yes,255,0,2,Yes,Yes,1,1,20094,3.91,0,N/A,2025-07-30
TCS00028,Employee_28,45,Male,India,HR,Lead,0.5,Medium,Advanced,Match,Yes,2,Yes,238,18,3,Yes,No,1,1,18342,2.54,0,N/A,2025-07-30
TCS00029,Employee_29,51,Female,UK,IT,Junior,9.3,Medium,Basic,Match,Yes,0,Yes,248,5,2,No,Yes,0,3,45807,3.35,0,N/A,2025-07-30
TCS00030,Employee_30,43,Male,Germany,IT,Lead,3.7,Medium,Basic,Match,No,1,Yes,242,17,3,Yes,No,0,1,22106,4.68,0,N/A,2025-07-30
TCS00031,Employee_31,43,Male,India,IT,Mid,9.7,Medium,Advanced,Match,No,5,No,248,8,1,No,Yes,1,3,10000,2.7,0,N/A,2025-07-30
TCS00032,Employee_32,49,Male,India,IT,Junior,7.2,Medium,None,Match,No,4,Yes,233,27,0,Yes,No,2,4,23508,4.95,0,N/A,2025-07-30
TCS00033,Employee_33,41,Female,India,IT,Lead,2.5,Medium,None,Match,No,7,Yes,243,8,2,Yes,Yes,1,0,22140,4.35,0,N/A,2025-07-30
TCS00034,Employee_34,30,Female,India,HR,Junior,3.7,Medium,Advanced,Match,Yes,5,No,239,13,1,Yes,Yes,1,2,26556,4.67,0,N/A,2025-07-30
TCS00035,Employee_35,49,Male,India,IT,Mid,10.7,Medium,Basic,Match,Yes,3,No,253,0,1,Yes,Yes,0,2,31863,2.11,0,N/A,2025-07-30
TCS00036,Employee_36,26,Female,India,Finance,Junior,8.3,High,None,Match,Yes,4,Yes,257,0,0,No,Yes,1,0,29535,3.55,0,N/A,2025-07-30
TCS00037,Employee_37,43,Female,UK,IT,Junior,3.3,Medium,None,Mismatch,No,5,No,245,15,0,No,Yes,0,0,18387,4.17,0,N/A,2025-07-30
TCS00038,Employee_38,44,Female,India,IT,Junior,6.1,High,None,Match,Yes,3,No,239,20,1,No,No,1,2,23652,3.31,0,N/A,2025-07-30
TCS00039,Employee_39,31,Female,Germany,Legal,Lead,5.0,Medium,None,Match,Yes,2,Yes,257,0,0,No,No,1,0,13601,2.97,0,N/A,2025-07-30
TCS00040,Employee_40,28,Male,USA,HR,Mid,3.6,High,Basic,Mismatch,Yes,7,No,248,6,2,No,Yes,3,2,10000,2.7,0,N/A,2025-07-30
TCS00041,Employee_41,55,Other,India,IT,Junior,5.3,Medium,None,Match,Yes,3,No,230,24,2,No,Yes,4,2,10000,3.67,0,N/A,2025-07-30
TCS00042,Employee_42,51,Male,USA,Sales,Mid,9.0,Low,None,Match,Yes,2,Yes,245,7,2,No,Yes,0,3,43055,4.72,0,N/A,2025-07-30
TCS00043,Employee_43,40,Male,Canada,Consulting,Senior,0.5,Medium,None,Match,Yes,4,Yes,253,3,0,Yes,Yes,0,2,22886,4.4,0,N/A,2025-07-30
TCS00044,Employee_44,36,Female,India,Consulting,Mid,6.8,Medium,Basic,Match,No,1,Yes,258,0,1,Yes,Yes,0,2,26396,4.1,0,N/A,2025-07-30
TCS00045,Employee_45,57,Male,India,IT,Junior,6.1,High,Basic,Match,No,5,Yes,244,7,0,Yes,Yes,0,2,25860,3.85,0,N/A,2025-07-30
TCS00046,Employee_46,50,Male,India,Sales,Lead,7.9,Medium,Advanced,Match,No,2,No,231,20,0,Yes,Yes,1,1,22199,3.8,0,N/A,2025-07-30
TCS00047,Employee_47,56,Female,India,Sales,Mid,4.2,Medium,None,Match,Yes,0,Yes,243,15,0,Yes,Yes,1,2,44160,4.75,0,N/A,2025-07-30
TCS00048,Employee_48,23,Male,India,IT,Junior,6.0,High,Advanced,Mismatch,No,3,Yes,244,13,0,No,Yes,1,2,22382,3.42,0,N/A,2025-07-30
TCS00049,Employee_49,46,Male,USA,IT,Senior,3.6,High,Basic,Match,Yes,0,Yes,235,24,0,Yes,Yes,1,1,19774,2.52,0,N/A,2025-07-30
TCS00050,Employee_50,56,Male,USA,IT,Mid,7.4,High,None,Match,No,0,Yes,242,17,1,No,No,1,2,29832,4.67,0,N/A,2025-07-30
TCS00051,Employee_51,29,Male,Australia,IT,Junior,5.2,Medium,None,Match,No,4,No,249,9,1,No,Yes,2,2,37087,3.43,0,N/A,2025-07-30
TCS00052,Employee_52,57,Female,UK,Legal,Senior,10.9,Medium,None,Match,No,7,Yes,248,10,0,Yes,No,0,1,20326,2.68,0,N/A,2025-07-30
TCS00053,Employee_53,40,Female,Canada,Sales,Mid,5.7,High,None,Match,No,7,Yes,257,0,0,No,Yes,1,2,22049,3.22,0,N/A,2025-07-30
TCS00054,Employee_54,26,Male,India,IT,Manager,4.1,Medium,None,Match,Yes,6,Yes,256,4,1,Yes,Yes,1,2,24388,3.74,0,N/A,2025-07-30
TCS00055,Employee_55,52,Male,India,HR,Junior,0.5,Medium,Basic,Match,Yes,4,Yes,254,0,2,Yes,Yes,2,2,10000,3.3,0,N/A,2025-07-30
TCS00056,Employee_56,59,Male,USA,HR,Mid,7.1,Medium,None,Mismatch,No,5,Yes,236,20,3,Yes,No,2,2,17039,4.35,0,N/A,2025-07-30
TCS00057,Employee_57,28,Male,India,IT,Junior,1.5,Low,Basic,Match,No,0,Yes,232,28,1,Yes,Yes,2,2,20113,2.88,0,N/A,2025-07-30
TCS00058,Employee_58,49,Male,India,IT,Junior,8.6,Medium,Basic,Mismatch,No,0,No,227,29,4,No,Yes,1,1,25724,4.01,0,N/A,2025-07-30
TCS00059,Employee_59,33,Male,India,IT,Mid,6.5,Low,Basic,Mismatch,Yes,0,Yes,249,8,0,No,Yes,3,1,20771,2.77,0,N/A,2025-07-30
TCS00060,Employee_60,54,Male,UK,Finance,Senior,3.0,High,Basic,Match,No,7,Yes,246,7,2,Yes,Yes,0,2,10000,3.14,0,N/A,2025-07-30
TCS00061,Employee_61,23,Male,USA,Sales,Mid,5.9,High,None,Match,No,1,No,242,12,0,Yes,Yes,1,1,25481,2.78,0,N/A,2025-07-30
TCS00062,Employee_62,36,Male,Australia,Sales,Junior,2.3,High,Basic,Mismatch,Yes,6,Yes,234,18,1,No,No,1,0,24823,2.5,0,N/A,2025-07-30
TCS00063,Employee_63,34,Female,Germany,IT,Lead,3.6,Medium,None,Match,Yes,1,Yes,259,0,1,No,No,2,0,33211,2.41,0,N/A,2025-07-30
TCS00064,Employee_64,26,Male,India,IT,Senior,6.9,Medium,None,Match,Yes,0,Yes,251,0,2,Yes,Yes,2,2,16842,3.65,0,N/A,2025-07-30
TCS00065,Employee_65,32,Male,India,Sales,Mid,3.5,Medium,Basic,Match,No,2,Yes,253,0,2,Yes,Yes,1,1,39703,3.58,1,Skills Mismatch,2025-07-30
TCS00066,Employee_66,25,Male,India,Finance,Junior,4.4,High,Advanced,Mismatch,No,5,Yes,248,5,2,Yes,Yes,3,1,32413,4.59,0,N/A,2025-07-30
TCS00067,Employee_67,54,Male,India,Sales,Junior,4.5,High,Basic,Match,No,5,Yes,256,4,0,Yes,Yes,0,2,30560,3.03,0,N/A,2025-07-30
TCS00068,Employee_68,38,Female,India,Sales,Junior,2.8,Medium,Basic,Match,Yes,7,Yes,232,19,1,Yes,Yes,2,2,15415,2.07,0,N/A,2025-07-30
TCS00069,Employee_69,22,Male,UK,Consulting,Lead,3.6,High,Basic,Match,No,7,No,251,0,2,Yes,Yes,2,2,17541,4.22,0,N/A,2025-07-30
TCS00070,Employee_70,52,Female,UK,IT,Junior,5.0,Medium,Basic,Match,No,7,Yes,255,0,4,Yes,Yes,1,3,10310,3.43,0,N/A,2025-07-30
TCS00071,Employee_71,34,Male,India,IT,Senior,6.1,Medium,None,Match,No,0,Yes,246,6,1,Yes,No,0,0,23658,2.27,0,N/A,2025-07-30
TCS00072,Employee_72,49,Female,India,Legal,Mid,11.9,Medium,Basic,Match,No,1,Yes,241,10,2,No,Yes,0,2,21682,2.52,0,N/A,2025-07-30
TCS00073,Employee_73,56,Male,USA,Consulting,Junior,3.8,High,Basic,Match,No,4,Yes,249,3,0,Yes,No,3,2,22846,3.03,0,N/A,2025-07-30
TCS00074,Employee_74,55,Female,India,HR,Senior,4.9,Medium,Basic,Match,Yes,7,Yes,246,14,1,Yes,Yes,5,1,22566,3.51,0,N/A,2025-07-30
TCS00075,Employee_75,58,Female,Germany,Finance,Mid,5.0,Medium,None,Mismatch,No,2,Yes,257,0,0,No,Yes,2,3,19029,4.04,0,N/A,2025-07-30
TCS00076,Employee_76,49,Male,India,IT,Mid,8.1,Low,Basic,Match,Yes,1,No,254,0,2,No,No,1,2,23316,4.38,0,N/A,2025-07-30
TCS00077,Employee_77,30,Male,India,IT,Junior,4.5,High,None,Match,Yes,3,Yes,242,15,1,Yes,Yes,1,1,29330,4.63,0,N/A,2025-07-30
TCS00078,Employee_78,31,Female,India,IT,Lead,6.5,Medium,Advanced,Match,Yes,3,Yes,247,6,0,No,Yes,2,2,20373,4.0,0,N/A,2025-07-30
TCS00079,Employee_79,30,Male,India,IT,Mid,10.9,High,Advanced,Match,No,0,Yes,252,0,0,Yes,Yes,2,0,22071,3.74,0,N/A,2025-07-30
TCS00080,Employee_80,30,Female,Australia,Sales,Mid,8.8,Medium,Basic,Match,No,7,Yes,252,0,0,No,Yes,0,2,21690,3.22,0,N/A,2025-07-30
TCS00081,Employee_81,57,Male,UK,Legal,Mid,9.0,Medium,None,Match,No,6,Yes,259,0,3,Yes,Yes,0,2,13868,2.98,1,Skills Mismatch,2025-07-30
TCS00082,Employee_82,57,Male,UK,Sales,Senior,5.0,Medium,None,Mismatch,Yes,0,Yes,248,11,0,Yes,Yes,4,2,22434,4.58,0,N/A,2025-07-30
TCS00083,Employee_83,59,Female,UK,Consulting,Senior,5.9,Medium,Basic,Match,Yes,4,No,238,16,1,No,No,0,2,33349,4.15,0,N/A,2025-07-30
TCS00084,Employee_84,42,Female,India,Finance,Mid,8.9,High,Basic,Match,Yes,4,Yes,257,0,2,Yes,Yes,1,4,43532,2.67,0,N/A,2025-07-30
TCS00085,Employee_85,52,Female,India,IT,Mid,11.2,High,Basic,Match,No,3,Yes,238,15,2,Yes,Yes,0,1,47519,2.93,0,N/A,2025-07-30
TCS00086,Employee_86,39,Male,UK,HR,Junior,11.9,Medium,Basic,Match,No,1,No,253,0,1,No,Yes,0,2,24643,2.49,0,N/A,2025-07-30
TCS00087,Employee_87,55,Female,USA,IT,Mid,5.6,Medium,Basic,Match,Yes,0,Yes,249,3,1,Yes,Yes,1,4,26251,4.34,0,N/A,2025-07-30
TCS00088,Employee_88,34,Male,India,HR,Mid,0.5,Medium,None,Match,No,1,Yes,249,9,0,No,No,1,1,29908,4.41,0,N/A,2025-07-30
TCS00089,Employee_89,57,Male,India,Sales,Senior,8.6,High,Basic,Match,Yes,4,No,242,17,1,Yes,Yes,0,2,14474,2.11,0,N/A,2025-07-30
TCS00090,Employee_90,47,Female,India,Legal,Lead,8.0,Low,Advanced,Mismatch,No,4,Yes,244,10,0,Yes,No,3,2,25982,4.3,0,N/A,2025-07-30
TCS00091,Employee_91,58,Male,Canada,IT,Junior,8.4,High,None,Match,No,3,Yes,240,18,2,Yes,Yes,1,2,35233,3.77,0,N/A,2025-07-30
TCS00092,Employee_92,46,Male,India,Consulting,Mid,7.5,Low,Basic,Match,No,0,Yes,232,28,0,Yes,Yes,0,2,10000,3.91,0,N/A,2025-07-30
TCS00093,Employee_93,56,Female,Germany,Finance,Mid,13.8,Medium,None,Match,No,7,Yes,232,19,2,Yes,Yes,0,2,41736,4.77,0,N/A,2025-07-30
TCS00094,Employee_94,29,Female,UK,HR,Senior,9.7,High,None,Match,No,1,Yes,242,12,1,Yes,Yes,3,0,23377,4.34,0,N/A,2025-07-30
TCS00095,Employee_95,56,Male,USA,IT,Senior,10.8,Medium,Basic,Match,Yes,7,Yes,250,1,3,Yes,No,2,0,29266,3.42,0,N/A,2025-07-30
TCS00096,Employee_96,56,Male,India,Sales,Senior,4.5,High,None,Match,Yes,3,Yes,231,20,3,Yes,Yes,1,1,26969,4.58,0,N/A,2025-07-30
TCS00097,Employee_97,36,Female,Canada,IT,Junior,4.7,Medium,None,Mismatch,No,1,Yes,254,2,3,Yes,Yes,1,2,31875,3.96,0,N/A,2025-07-30
TCS00098,Employee_98,50,Female,USA,Sales,Senior,3.8,Medium,None,Match,No,2,Yes,237,19,0,Yes,No,2,1,41792,2.74,0,N/A,2025-07-30
TCS00099,Employee_99,41,Female,India,Sales,Mid,2.1,Medium,Basic,Match,Yes,7,Yes,248,7,3,Yes,Yes,1,1,41231,2.4,0,N/A,2025-07-30
TCS00100,Employee_100,53,Male,India,IT,Manager,3.7,Medium,Basic,Mismatch,No,0,No,257,0,0,No,Yes,1,0,18503,3.28,0,N/A,2025-07-30
TCS00101,Employee_101,48,Male,India,IT,Manager,7.0,Low,None,Match,Yes,6,Yes,252,1,0,No,Yes,2,0,29923,3.26,0,N/A,2025-07-30
TCS00102,Employee_102,59,Female,India,IT,Mid,2.0,Medium,Advanced,Match,No,4,Yes,253,0,3,Yes,No,1,2,20889,4.41,0,N/A,2025-07-30
TCS00103,Employee_103,34,Male,USA,Sales,Lead,1.1,High,Basic,Match,No,7,Yes,244,13,2,No,Yes,1,1,32214,2.6,0,N/A,2025-07-30
TCS00104,Employee_104,26,Male,Germany,IT,Junior,7.8,Medium,Basic,Mismatch,No,2,Yes,259,1,0,Yes,Yes,3,3,25346,2.06,0,N/A,2025-07-30
TCS00105,Employee_105,52,Female,India,IT,Lead,7.0,Low,None,Match,No,5,No,253,0,2,Yes,Yes,0,2,30014,4.57,0,N/A,2025-07-30
TCS00106,Employee_106,33,Female,Germany,IT,Manager,8.2,Medium,Basic,Mismatch,No,3,Yes,247,8,1,No,Yes,1,4,38340,2.54,0,N/A,2025-07-30
TCS00107,Employee_107,40,Male,India,IT,Manager,6.8,Low,None,Match,Yes,5,Yes,247,10,3,Yes,No,1,2,20403,2.81,0,N/A,2025-07-30
TCS00108,Employee_108,42,Female,India,IT,Senior,10.1,High,None,Mismatch,No,0,Yes,257,1,0,No,Yes,0,0,27420,2.04,0,N/A,2025-07-30
TCS00109,Employee_109,24,Female,India,Finance,Junior,4.1,Medium,Basic,Mismatch,No,0,Yes,258,2,1,Yes,No,1,2,23456,3.62,0,N/A,2025-07-30
TCS00110,Employee_110,31,Male,Canada,IT,Manager,10.5,Low,None,Match,Yes,0,No,235,21,0,No,Yes,1,0,23895,3.54,1,Redeployment Failure,2025-07-30
TCS00111,Employee_111,51,Male,India,Consulting,Mid,7.3,Medium,Basic,Match,Yes,2,Yes,249,10,1,Yes,Yes,2,1,10000,3.6,0,N/A,2025-07-30
TCS00112,Employee_112,28,Female,India,Sales,Mid,2.7,Medium,Basic,Match,No,1,Yes,251,0,0,No,No,0,2,10000,3.83,0,N/A,2025-07-30
TCS00113,Employee_113,54,Male,UK,IT,Junior,10.0,High,Basic,Match,No,0,No,249,7,0,Yes,Yes,1,2,25972,3.95,0,N/A,2025-07-30
TCS00114,Employee_114,38,Male,USA,Consulting,Junior,7.2,High,None,Match,Yes,7,Yes,252,7,0,No,Yes,1,1,24904,3.63,0,N/A,2025-07-30
TCS00115,Employee_115,27,Male,India,Sales,Junior,6.1,Low,Basic,Match,Yes,1,Yes,253,0,4,Yes,No,2,2,34449,3.56,0,N/A,2025-07-30
TCS00116,Employee_116,23,Female,UK,Sales,Mid,10.0,High,Basic,Match,No,2,Yes,249,3,1,No,Yes,2,1,21993,4.09,0,N/A,2025-07-30
TCS00117,Employee_117,28,Male,USA,Sales,Junior,9.2,Medium,Basic,Match,Yes,1,Yes,258,0,0,No,No,0,2,51573,4.54,0,N/A,2025-07-30
TCS00118,Employee_118,58,Male,India,IT,Mid,6.9,High,None,Mismatch,Yes,1,Yes,257,0,1,Yes,Yes,3,0,28633,3.35,0,N/A,2025-07-30
TCS00119,Employee_119,34,Male,USA,IT,Junior,1.5,High,None,Match,Yes,7,Yes,260,0,1,No,Yes,0,1,15559,2.58,0,N/A,2025-07-30
TCS00120,Employee_120,37,Other,India,Finance,Manager,8.6,Low,None,Match,No,3,Yes,260,0,0,Yes,Yes,0,0,29815,2.49,0,N/A,2025-07-30
TCS00121,Employee_121,38,Male,UK,HR,Senior,3.5,Medium,None,Mismatch,No,4,Yes,236,24,1,No,Yes,3,2,12682,2.32,0,N/A,2025-07-30
TCS00122,Employee_122,29,Male,UK,Finance,Manager,8.5,Medium,Basic,Match,No,1,Yes,239,14,2,No,Yes,1,3,21490,4.75,0,N/A,2025-07-30
TCS00123,Employee_123,56,Female,India,IT,Junior,8.1,Medium,Basic,Match,No,0,No,245,15,1,Yes,No,1,0,10000,3.0,0,N/A,2025-07-30
TCS00124,Employee_124,49,Male,India,IT,Senior,6.7,High,None,Match,Yes,7,Yes,253,5,1,No,No,1,0,10000,2.8,0,N/A,2025-07-30
TCS00125,Employee_125,33,Male,UK,Sales,Junior,6.6,Medium,None,Match,No,5,No,248,7,1,Yes,No,0,1,35043,3.78,0,N/A,2025-07-30
TCS00126,Employee_126,44,Female,India,Legal,Senior,7.9,Medium,None,Match,No,1,Yes,240,19,1,Yes,Yes,3,1,35075,4.86,0,N/A,2025-07-30
TCS00127,Employee_127,41,Male,India,Sales,Lead,10.8,Low,None,Match,Yes,0,Yes,238,13,0,Yes,No,2,1,26215,2.64,0,N/A,2025-07-30
TCS00128,Employee_128,22,Male,India,IT,Junior,10.9,Medium,None,Match,Yes,1,Yes,237,20,0,Yes,Yes,0,1,16391,4.42,0,N/A,2025-07-30
TCS00129,Employee_129,26,Female,USA,Sales,Manager,4.2,Medium,Basic,Mismatch,No,7,Yes,255,0,1,Yes,Yes,1,1,28977,4.9,0,N/A,2025-07-30
TCS00130,Employee_130,31,Male,India,IT,Mid,7.3,Medium,None,Match,No,7,Yes,236,17,4,Yes,Yes,1,2,27843,4.55,0,N/A,2025-07-30
TCS00131,Employee_131,50,Male,India,Legal,Junior,7.6,High,None,Match,Yes,0,Yes,227,30,0,Yes,Yes,1,2,24934,4.55,0,N/A,2025-07-30
TCS00132,Employee_132,39,Male,Canada,Sales,Senior,2.6,Medium,Basic,Mismatch,Yes,6,No,253,4,1,No,No,0,2,10000,4.62,0,N/A,2025-07-30
TCS00133,Employee_133,29,Male,India,Finance,Lead,7.0,Medium,None,Match,No,6,Yes,255,5,1,Yes,Yes,2,2,15948,3.6,0,N/A,2025-07-30
TCS00134,Employee_134,28,Female,India,IT,Senior,5.2,High,Basic,Mismatch,No,5,Yes,236,15,2,Yes,Yes,0,2,21077,2.99,0,N/A,2025-07-30
TCS00135,Employee_135,42,Male,India,Sales,Mid,3.9,Low,None,Mismatch,No,4,Yes,229,22,1,Yes,Yes,0,3,26735,2.11,0,N/A,2025-07-30
TCS00136,Employee_136,22,Male,USA,Sales,Junior,4.4,High,Basic,Match,No,6,Yes,250,5,1,Yes,No,0,1,35724,4.34,0,N/A,2025-07-30
TCS00137,Employee_137,35,Male,India,Finance,Junior,0.5,Low,None,Match,No,5,Yes,259,0,2,Yes,Yes,0,2,31699,2.07,0,N/A,2025-07-30
TCS00138,Employee_138,32,Male,India,Legal,Junior,4.5,Medium,Basic,Match,No,2,No,254,3,4,Yes,Yes,0,0,14527,2.77,0,N/A,2025-07-30
TCS00139,Employee_139,54,Female,India,HR,Junior,0.5,High,Basic,Match,No,3,Yes,256,0,2,Yes,Yes,0,2,33853,3.76,0,N/A,2025-07-30
TCS00140,Employee_140,36,Male,India,IT,Mid,4.7,High,Basic,Match,No,1,No,259,0,0,Yes,Yes,1,0,36347,2.31,0,N/A,2025-07-30
TCS00141,Employee_141,34,Male,India,IT,Lead,0.5,High,Basic,Match,No,2,Yes,237,17,0,No,Yes,1,2,24870,3.72,0,N/A,2025-07-30
TCS00142,Employee_142,39,Male,UK,HR,Manager,8.1,High,None,Match,No,5,Yes,251,1,0,No,Yes,0,4,28966,3.87,0,N/A,2025-07-30
TCS00143,Employee_143,54,Male,India,IT,Senior,7.2,Medium,Basic,Match,Yes,4,Yes,240,12,2,Yes,No,4,0,24127,2.45,0,N/A,2025-07-30
TCS00144,Employee_144,23,Female,Canada,HR,Junior,9.9,Medium,Basic,Mismatch,Yes,6,Yes,227,27,1,No,Yes,1,3,19295,3.73,0,N/A,2025-07-30
TCS00145,Employee_145,22,Male,India,HR,Senior,4.0,Medium,None,Mismatch,No,3,Yes,255,0,1,Yes,Yes,1,2,29539,3.21,0,N/A,2025-07-30
TCS00146,Employee_146,59,Female,India,Sales,Junior,6.3,Medium,Basic,Match,No,0,No,250,8,0,No,Yes,0,1,27007,2.97,0,N/A,2025-07-30
TCS00147,Employee_147,55,Female,USA,Legal,Senior,4.4,Medium,Basic,Match,No,6,Yes,239,13,1,No,No,2,0,21388,4.69,0,N/A,2025-07-30
TCS00148,Employee_148,46,Male,India,HR,Junior,5.0,Medium,Advanced,Match,No,4,Yes,249,4,0,Yes,Yes,0,2,23170,4.71,0,N/A,2025-07-30
TCS00149,Employee_149,43,Male,India,IT,Junior,7.1,Medium,Basic,Match,Yes,3,Yes,246,9,0,Yes,Yes,0,2,35233,2.09,0,N/A,2025-07-30
TCS00150,Employee_150,22,Female,India,IT,Mid,7.4,High,Advanced,Match,No,4,Yes,250,8,1,Yes,No,0,0,22571,2.48,0,N/A,2025-07-30
TCS00151,Employee_151,33,Female,Canada,IT,Senior,6.3,High,Basic,Match,No,2,Yes,260,0,1,Yes,Yes,1,1,27138,4.23,1,Skills Mismatch,2025-07-30
TCS00152,Employee_152,37,Female,India,IT,Junior,3.3,Medium,Advanced,Match,No,2,Yes,232,19,2,No,Yes,3,1,41480,3.03,0,N/A,2025-07-30
TCS00153,Employee_153,40,Male,Australia,IT,Mid,9.5,Medium,None,Match,No,1,Yes,243,12,1,Yes,Yes,0,2,10000,2.81,0,N/A,2025-07-30
TCS00154,Employee_154,55,Male,India,IT,Lead,7.7,Low,None,Mismatch,No,0,Yes,254,4,1,Yes,Yes,0,2,18437,3.81,0,N/A,2025-07-30
TCS00155,Employee_155,34,Male,Australia,Sales,Senior,8.6,Medium,Basic,Match,No,1,Yes,259,0,1,Yes,Yes,1,0,34235,2.72,0,N/A,2025-07-30
TCS00156,Employee_156,36,Female,India,IT,Senior,8.1,Medium,None,Match,No,5,Yes,256,0,1,Yes,Yes,0,1,26320,3.15,0,N/A,2025-07-30
